,census_tract,year,population,total_laborforce,resident_workforce,perc_total_resident_workforce,drove_alone,carpool,public_transit,walk,bike,other_mode,work_at_home,top_mode
3,3521,2012-2016,4100,2365,796,3.0,20.0,1.0,17.0,43.0,5.0,1.0,12.0,walk
5,3521.01,2012-2016,1725,925,287,1.0,19.0,3.0,28.0,24.0,4.0,0.0,22.0,public_transit
7,3521.02,2012-2016,2375,1440,509,2.0,21.0,0.0,12.0,53.0,6.0,2.0,6.0,walk
11,3522,2012-2016,1690,955,343,1.0,12.0,1.0,16.0,50.0,9.0,1.0,11.0,walk
15,3523,2012-2016,3910,2285,895,4.0,3.0,3.0,10.0,69.0,3.0,0.0,12.0,walk
19,3524,2012-2016,2085,1050,355,1.0,24.0,0.0,30.0,33.0,8.0,3.0,1.0,walk
23,3525,2012-2016,2760,1785,439,2.0,17.0,0.0,2.0,52.0,13.0,0.0,15.0,walk
27,3526,2012-2016,2595,1555,593,2.0,11.0,6.0,15.0,46.0,10.0,0.0,13.0,walk
31,3527,2012-2016,2185,1205,389,2.0,28.0,4.0,14.0,31.0,11.0,1.0,11.0,walk
35,3528,2012-2016,2080,1480,489,2.0,18.0,2.0,10.0,40.0,14.0,0.0,16.0,walk
39,3529,2012-2016,2910,1820,874,4.0,20.0,2.0,3.0,40.0,17.0,0.0,18.0,walk
43,3530,2012-2016,3480,2115,697,3.0,5.0,0.0,21.0,27.0,17.0,0.0,31.0,work_at_home
47,3531,2012-2016,7400,3805,2151,9.0,4.0,1.0,8.0,62.0,9.0,1.0,15.0,walk
49,3531.01,2012-2016,2600,1605,731,3.0,10.0,1.0,12.0,54.0,7.0,0.0,16.0,walk
51,3531.02,2012-2016,4800,2200,1420,6.0,1.0,1.0,6.0,67.0,10.0,1.0,15.0,walk
55,3532,2012-2016,5040,3065,1435,6.0,12.0,1.0,12.0,54.0,8.0,3.0,11.0,walk
59,3533,2012-2016,3620,2280,794,3.0,12.0,4.0,8.0,33.0,19.0,6.0,19.0,walk
63,3534,2012-2016,2945,1915,730,3.0,8.0,12.0,17.0,36.0,6.0,3.0,18.0,walk
67,3535,2012-2016,2670,1535,507,2.0,5.0,0.0,25.0,42.0,11.0,5.0,13.0,walk
71,3536,2012-2016,4825,2600,1238,5.0,10.0,2.0,12.0,56.0,8.0,2.0,11.0,walk
75,3537,2012-2016,5755,3035,1561,6.0,9.0,1.0,8.0,56.0,6.0,1.0,20.0,walk
79,3538,2012-2016,4650,2990,1249,5.0,14.0,0.0,19.0,37.0,15.0,0.0,16.0,walk
83,3539,2012-2016,6285,3070,1614,6.0,3.0,2.0,5.0,71.0,6.0,0.0,13.0,walk
87,3540,2012-2016,4155,2310,1227,5.0,7.0,0.0,9.0,59.0,5.0,0.0,20.0,walk
91,3541,2012-2016,2790,1560,729,3.0,9.0,3.0,14.0,48.0,6.0,0.0,19.0,walk
95,3542,2012-2016,3410,1705,755,3.0,16.0,3.0,11.0,22.0,14.0,0.0,34.0,work_at_home
99,3543,2012-2016,3280,1790,470,2.0,28.0,5.0,21.0,19.0,20.0,0.0,6.0,drove_alone
103,3544,2012-2016,1775,1055,438,2.0,36.0,2.0,8.0,20.0,8.0,0.0,26.0,drove_alone
107,3545,2012-2016,2225,1225,609,2.0,12.0,7.0,22.0,26.0,7.0,2.0,25.0,walk
111,3546,2012-2016,5460,2810,1130,5.0,28.0,0.0,21.0,18.0,6.0,0.0,27.0,drove_alone
115,3547,2012-2016,2750,1560,520,2.0,14.0,4.0,36.0,11.0,9.0,0.0,26.0,public_transit
119,3548,2012-2016,2155,1465,576,2.0,34.0,1.0,23.0,16.0,10.0,1.0,17.0,drove_alone
123,3549,2012-2016,6555,3655,1015,4.0,13.0,4.0,44.0,19.0,3.0,0.0,17.0,public_transit
127,3550,2012-2016,3215,1885,565,2.0,22.0,5.0,43.0,15.0,0.0,0.0,15.0,public_transit
131,Citywide,2012-2016,108755,61930,25183,100.0,13.0,2.0,15.0,43.0,9.0,1.0,17.0,walk
